"INSPECTION1","INSPECTION2","INSPECTION3","INSPECTION4","INSPECTION5","INSPECTION6","INSPECTION7","INSPECTION8","INSPECTION9","INSPECTION10","INSPECTION11","INSPECTION12","INSPECTION13","INSPECTION14","INSPECTION15","INSPECTION16","INSPECTION17","INSPECTION18","INSPECTION19","INSPECTION20","INSPECTION21","INSPECTION22","INSPECTION23","INSPECTION24","INSPECTION25","INSPECTION26","INSPECTION27","INSPECTION28","INSPECTION29","INSPECTION30","INSPECTION31","INSPECTION32","INSPECTION33"
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,5,13,13
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,9,9,2,12
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,10,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,2,2,7
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5,2
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,12,5,12,9,12,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,3,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,13,13,8,9,13,9,8
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,13,13,13,12,13,13,13,13
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,19,13,19,20,13,13,13,13,13,19,20,19,13,19,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32,12,9,32,14,9,16,16,32,32,19,19,32,19,12,16,14
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,12,9,13,12,12,13
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,11,9,11,16,12,16,9,12,9
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,10,13,10,13,13
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,22,6,22,22,6,12,16,16,6,6,16,6,12,22
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,12,13,13,12,12
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,9,11,3,9
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,9,9,5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,11,13,12,12,12,13
